,NAME,TEAM,elo
382,Chase Cayo,South Dakota St.,1045.605513
383,Benjamin Doiron,American,1045.414553
384,Brandon Garnica,BYU,1045.35
385,Xian Shively,Unattached,1045.010842
386,Joe Limo,Radford,1044.859519
387,Mark Beckmann,Central Michigan,1044.425
388,Remi Schyns,Eastern Kentucky,1043.967118
389,Henry Raymond,Dartmouth,1043.945097
390,ABABU MOHAMMED,Tennessee Tech,1043.680264
391,Andres Sandoval,Sacramento St.,1043.528576
392,Bryce Millar,Indiana,1043.285213
393,Zach Swenson,Villanova,1042.987994
394,Satchel Caldwell,Colorado St.,1042.7
395,Harry Powell,Temple,1042.33256
396,Michael Downey,Wyoming,1042.203836
397,Owen Bailey,Samford,1041.761744
398,Dan Schumacher,Columbia,1041.514553
399,Danny Dominguez,Adams State,1041.160842
400,Danny Kilrea,Unattached,1040.9
401,Ben Fleming,Virginia Tech,1040.713814
402,Siro Pina Cardona,High Point,1040.684519
403,Taylor Dillon,Weber State,1040.582341
404,Colin Schaefer,Florida,1040.497948
405,Justin Varineau,Calvin,1040.4
406,Justin Moakler,Morehead State,1039.505264
407,Kody Gould,Utah State,1039.429647
408,Evert Silva,Portland,1038.92429
409,Milo Greder,Iowa State,1038.784757
410,Justin Hazell,Una-8,1038.187624
411,Jon Klaiber,Marquette,1038.0557
412,Viraj Deokar,Princeton,1037.639553
413,Matthew Scarr,East Tenn. St.,1037.636744
414,Munir Kabbara,UCLA,1037.335842
415,Will Battershill,Harvard,1037.317985
416,Jonathan Johnson,USC Upstate,1036.559519
417,Porter Reddish,BYU,1036.55
418,Chandler Lorf,Central Michigan,1036.425
419,Zach Lefever,Pittsburgh,1036.370097
420,Aaron Wier,Morehead State,1035.355264
421,Skylar Ovnicek,Idaho,1035.353576
422,MICHAEL MOONEY,Unattached,1034.425
423,Tristan Peloquin,Portland,1033.687624
424,Adam Bradtmueller,East Tenn. St.,1033.561744
425,Pierre-Louis Detourbe,Simon Fraser,1033.535842
426,Alec Schrank,Air Force,1033.045372
427,Jacob Lee,Michigan,1032.98124
428,Matt Inman,Charleston Southern,1032.847736
429,Sam Worley,Texas,1032.765578
430,Alexander Seal,Boston U.,1032.620097
431,Jacob Slann,Clemson,1032.5
432,TJ Morales,High Point,1032.484519
433,Matthew Carmody,Unattached,1032.3
434,Jack Salisbury,Georgetown,1031.788474
435,Jacob Brueckman,Colorado St.,1031.406687
436,Levi Thomet,Oregon,1031.24726
437,Koby Pederson,Loyola Marymount,1031.12429
438,Riley Osen,Portland,1030.741845
439,BROCK DYKEMA,Unattached,1030.4
440,Cooper Teare,UNATTACHED-5,1030.25
441,Connor Ferrentino,Alabama,1030.158528
442,Daryn Hutchings,Binghamton,1029.964553
443,Paddy Robb,Adams State,1029.760842
444,Soresa Gemechu,East Tenn. St.,1029.561744
445,Joe Horen,Portland,1029.312624
446,Owen Ritz,Dartmouth,1028.895097
447,Cameron Ponder,Furman,1028.719243
448,Tyler Polman,Youngstown St.,1028.625
449,Andrew Castano,USC Upstate,1028.459519
450,Dylan Jacobs,Unattached,1028.125
451,Fitsum Seyoum,Virginia Tech,1028.019183
452,Yacine Guermali,Gonzaga,1027.781981
453,Benjamin Scamihorn,SIU Edwardsville,1027.155264
454,Ben Hill,Michigan,1027.063938
455,Coen Haroldson,Utah State,1026.929647
456,Bradley Wattleworth,Notre Dame,1026.724112
457,Aldo Marquez,Northern Arizona,1026.436998
458,Justin Weber,Air Force,1026.425
459,Jack Daly,St. Joseph's (Pa.),1026.164553
460,Luke Meade,Furman,1025.636744
461,Peter Allegre,Portland,1025.512938
462,Greg Mangarelli,Stony Brook,1025.195097
463,Winter Romeyn,Michigan State,1025.129924
464,Reed Brown,Una-2,1025.062624
465,Addison Smith,Calvin,1024.8
466,Juan Cisneros,Radford,1024.484519
467,Colin O'Mara,Arkansas,1024.344541
468,Meshack Kipruto,Campbell,1024.105012
469,Jeryck Wilson,Charleston Southern,1024.072106
470,Abdi Ahmed,Unattached,1024.025
471,Fabian Cardenas,Idaho,1023.578576
472,Aaron Groff,Penn,1023.577998
473,Michael Teran-Solano,Portland,1023.54929
474,Braeden Collins,Georgia Tech,1022.71027
475,Jerald Taylor,Wyoming,1022.5
476,Liam Hilbert,Buffalo,1022.389553
477,Anthony Benitez,Unattached,1022.335842
478,Jack Aho,Michigan,1021.95624
479,Jordan Bostian,Western Carolina,1021.761744
480,Charlie Hunter,Unattached,1021.675
481,Jamison Koeman,Calvin,1021.025
482,Jordy Ceja,UC Davis,1020.912624
483,Joaquin Martinez De Pinillos,Wake Forest,1020.856499
484,Gashaw Duhamel,Tennessee,1020.824389
485,Makinnley Casey,Radford,1020.559519
486,John Tatter,Michigan,1020.416859
487,Scott Johnson,Air Force,1020.036638
488,Spencer Smith,Iowa,1020.025
489,Jack Polerecky,Loyola Marymount,1019.87429
490,Kipkirui Sammy,Tennessee Tech,1019.155264
491,Robert Tully,Tulsa,1018.736998
492,Bransen Thomas Stimpfel,Unattached,1018.660842
493,Tyler Fisher,Cornell,1018.639553
494,Ryan Lehmuth,Northern Colorado,1018.625
495,Brandon Hernandez,UNC-Greensboro,1017.936744
496,Matt Thornton,North Carolina,1017.870097
497,Henry Hayes,Portland,1017.575
498,Bennett Gagnon,Gonzaga,1017.530513
499,John Ward,Clemson,1017.275
500,Jack Guyton,Florida,1017.097948
501,Stephen Gray,High Point,1016.684519
502,Darian Sorouri,Stony Brook,1016.562138
503,Gabriel Kiprono,Tennessee Tech,1015.230264
504,Jackson Lewis,Arizona State,1015.010842
505,Steve Neumaier,Cornell,1014.914553
506,Dalton Hengst,Ole Miss,1014.784896
507,James Garst,East Tenn. St.,1014.186744
508,Miles Clikeman,Richmond,1014.105513
509,Nick Yeend,Indiana State,1013.55
510,Robinson Snider,Ole Miss,1013.5
511,Chandler Austin,Louisville,1013.471761
512,Gilbert Grundy,Jacuzzi Boys AC,1012.937624
