Elo rank,NAME,TEAM,elo
326,Kyle Havriliak,Northern Arizona,1125.134598
327,Scott Beattie,Tulsa,1124.932759
328,Cornelius Kapel,UTEP,1124.15
329,Trent Lancaster,George Mason,1123.689553
330,Alexander Korczynski,Northeastern,1123.627666
331,Patrick O'Brien,Dartmouth,1123.04679
332,Jeff Lautenslager,Boise State,1123.007316
333,Kyle Thompson,Gonzaga,1121.555513
334,Andrew Schille,Cincinnati,1120.935111
335,David Rosas,Providence,1120.620097
336,Zach Stewart,Eastern Kentucky,1120.103204
337,Joe Riordan,Michigan State,1119.677755
338,Rodgers Korir,UTEP,1119.35
339,Wyatt Diderickson,Idaho State,1119.284557
340,Robert Santoyo,Army West Point,1117.97291
341,Ben Hill,Michigan,1117.592334
342,Paul Stafford,Florida State,1117.269478
343,Billy Magnesen,Illinois,1117.178834
344,Martin Barr,Villanova,1116.378868
345,Nicholas Laccinole,Washington,1116.370097
346,Connor Ferrentino,Alabama,1115.437907
347,Albert Kosgei,Louisville,1115.131242
348,Paul Power,Villanova,1115.092537
349,Matthew Rainey,American,1115.064553
350,Jack Tiernan,Wake Forest,1114.945155
351,Ben Holland,Cal Poly,1114.585842
352,Perrin Hagge,Princeton,1114.135548
353,Kramer Morton,BYU,1114.072828
354,Daniel Soto,Iowa,1113.316859
355,Colin O'Mara,Arkansas,1113.180862
356,Stuart McCallum,Portland,1111.245206
357,Jacob Perry,Texas A&M,1111.229623
358,Jack Beaumont,North Texas,1111.089882
359,Josh Maier,Southern Illinois,1110.611998
360,Jack Yearian,Oregon,1110.481729
361,Daniel Mountcastle,UC Santa Barbara,1110.285842
362,Michael Kiernan,Quinnipiac,1110.194128
363,Alan Burns,Youngstown St.,1109.85
364,Tyler Keslin,Notre Dame,1108.841859
365,Eric Coston,LSU,1108.188996
366,Toby Cooke,New Mexico,1107.936857
367,Matthew Edwards,Belmont,1107.881364
368,Nolan Dozier,St. Mary's (Cal.),1107.466992
369,Hociel Landa,Rice,1106.639882
370,Blair Hurlock,Stanford,1106.010842
371,Christian Allen,Weber State,1105.916777
372,John Nownes,UNIA,1105.686998
373,Darian Sorouri,Stony Brook,1105.143762
374,Alex Cornwell,Charlotte,1104.974706
375,Alexander Bruno,Valparaiso,1104.285111
376,James Cragin,Georgia Tech,1103.815147
377,Dylan Hodgson,Kansas,1103.357976
378,Derick Peters,Wisconsin,1102.844073
379,Collin Crilly,St. Joseph's (Pa.),1102.314553
380,Nikhil Pulimood,Duke,1101.805513
381,Trelani Waters,Hoka Aggies,1101.760842
382,ROBBY CREESE,UNA,1101.738814
383,Daniel Viegra,Wake Forest,1100.529485
384,Jacob Bilvado,Air Force,1100.407882
385,Owen Ritz,Dartmouth,1099.900748
386,Tyler Smith,Brown,1099.702318
387,Reuben Kiprono,Portland,1098.785896
388,Adam Hendrickson,Utah State,1098.499222
389,Ryan James,La Salle,1098.114553
390,Clay Musial,Rice,1097.814882
391,Forrest Barton,Colorado St.,1097.679975
392,Paul Zeiss,California,1097.627395
393,Huruy Zeratsion,San Jose St.,1097.535842
394,Jack Manderscheid,Minnesota,1096.599429
395,Jake Hoffert,Bradley,1096.51995
396,Ben Naeger,Saint Louis,1095.975
397,Brandon Garnica,BYU,1095.045714
398,Kevin Kelly,Drake,1094.020382
399,Luke Coulter,Stony Brook,1093.914553
400,Logan Marshall,Cal Poly,1093.335842
401,Liam Kimball,UMass Lowell,1093.299905
402,Tyler Fisher,Cornell,1093.229357
403,Nick Ciolkowski,Elon,1092.818548
404,Justin Domanque,UT-Arlington,1091.241859
405,Elliot Gindi,Northern Arizona,1091.211998
406,Nick Fransham,Mount St. Mary's,1090.887361
407,Nathan Wadhwani,Washington St.,1089.967769
408,Isaac Akers,Tulsa,1089.770382
409,Patrick Spychalski,Unattached,1089.739553
410,Aaron Groff,Penn,1089.619101
411,Trent Powell,Colorado St.,1088.49006
412,Brandt Preston,Texas A&M,1088.358734
413,Nate Beamer,Washington,1087.320097
414,Colt Griffith,Clemson,1086.975
415,Soresa Gemechu,East Tenn. St.,1085.981159
416,Christian Liddell,Georgetown,1085.63863
417,Kyle Barber,Connecticut,1085.589553
418,William Anderson,Bradley,1085.545382
419,David Scherrer,Brown,1085.483436
420,Alex Merder,Cal Poly,1085.010842
421,Mason Coppi,Furman,1084.784638
422,Dalton Hengst,Ole Miss,1083.720542
423,Tyson Green,Weber State,1083.307039
424,Colin Schaefer,Florida,1082.625674
425,Tyler Johnson,Calvin,1082.525
426,Andrew Cooper,Washington St.,1081.886998
427,Jonathan Schloth,George Mason,1081.464553
428,Connor Weaver,BYU,1081.432562
429,Nadeel Wildschutt,Coastal Carolina,1081.043548
430,Andrew Ehrenberg,UCLA,1080.885842
431,Ben Butler,Kansas,1079.628863
432,Brodie Modini,North Carolina,1079.245097
433,Ben Savino,Ole Miss,1078.77664
434,Cody Baele,Illinois State,1078.41716
435,Jacob Stone,Weber State,1078.391859
436,Marcus Skinner,Eastern Illinois,1078.1
437,Arjun Jha,Indiana,1077.594527
438,Sam Ritz,Columbia,1077.364553
439,Kyler Little,Washington St.,1077.311998
